Token,Item Name,Variation Name,SKU,Description,Reporting Category,Weight (lb),Social Media Link Title,Social Media Link Description,Price,Online Sale Price,Sellable,Stockable,Option Name 1,Option Value 1,Enabled BCC TEST ENV 1,Current Quantity BCC TEST ENV 1,New Quantity BCC TEST ENV 1,Stock Alert Enabled BCC TEST ENV 1,Stock Alert Count BCC TEST ENV 1,Price BCC TEST ENV 1,Enabled Bonita Petals Boutique,Current Quantity Bonita Petals Boutique,New Quantity Bonita Petals Boutique,Stock Alert Enabled Bonita Petals Boutique,Stock Alert Count Bonita Petals Boutique,Price Bonita Petals Boutique,Enabled Marco Blossoms,Current Quantity Marco Blossoms,New Quantity Marco Blossoms,Stock Alert Enabled Marco Blossoms,Stock Alert Count Marco Blossoms,Price Marco Blossoms,Enabled Naples Floral Haven,Current Quantity Naples Floral Haven,New Quantity Naples Floral Haven,Stock Alert Enabled Naples Floral Haven,Stock Alert Count Naples Floral Haven,Price Naples Floral Haven,Modifier Set - Add-on Charms,Modifier Set - Gift Wrapping Choices,Modifier Set - Scent Enhancement,Tax - Florida Fresh Flower Tax (1.8%),Tax - Indoor Plant Maintenance Tax (3%),Tax - Naples Botanical Tax (2.5%)
WYL6Z4R4KTRBOCCK4ADRRLOE,Aloe Vera Healing Plant,Soothing Gel Plant,,,Indoor Plants,,,,33.00,,,,,,Y,,,,,,Y,423,,,,,Y,19,,,,,Y,434,,,,,N,Y,N,N,Y,N
VK25IE477IJTQ7D4FIAYOTPP,Aloe Vera Healing Plant,Medicinal Marvel Pot,,,Indoor Plants,,,,variable,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,Y,N,N,Y,N
EXSQK65ZVCAU65MPFUN4UWE7,Aloe Vera Healing Plant,Wellness Aloe Basket,,,Indoor Plants,,,,36.00,,,,,,Y,,,,,,Y,335,,,,,Y,176,,,,,Y,218,,,,,N,Y,N,N,Y,N
X2U4LEYBF26BGSAFIWJL6AMA,Beachside Bliss Bouquet,Coastal Breeze Collection,,,Romantic Collections,,,,variable,,,,,,Y,,,,,,Y,178,,,,,Y,,,,,,Y,,,,,,Y,N,N,N,N,N
HMSMMXVF6DKLQBILX2BVOBHK,Beachside Bliss Bouquet,Sandy Shores Centerpiece,,,Romantic Collections,,,,77.00,,,,,,Y,,,,,,Y,71,,,,,Y,,,,,,Y,,,,,,Y,N,N,N,N,N
WAJZSVB3EZKMRJU7TCKLLAJX,Beachside Bliss Bouquet,Oceanfront Charm Arrangement,,,Romantic Collections,,,,80.00,,,,,,Y,,,,,,Y,,,,,,Y,62,,,,,Y,,,,,,Y,N,N,N,N,N
RYVDWSMYT46LQH5TPKMTKY6L,Bird of Paradise Bliss,Tropical Escape Arrangement,,,Tropical Flora,,,,92.00,,,,,,Y,,,,,,Y,30,,,,,Y,,,,,,Y,339,,,,,N,Y,N,Y,N,N
NIN2HS66DJG2E32ZUZ7KIZW6,Bird of Paradise Bliss,Exotic Elegance Bouquet,,,Tropical Flora,,,,87.00,,,,,,Y,,,,,,Y,461,,,,,Y,251,,,,,Y,266,,,,,N,Y,N,Y,N,N
TXEF3ZIUKSVULTEGYCY7YBG7,Bird of Paradise Bliss,Island Splendor Display,,,Tropical Flora,,,,variable,,,,,,Y,,,,,,Y,160,,,,,Y,179,,,,,Y,483,,,,,N,Y,N,Y,N,N
CCQVPAKJ4AQPCXRRMTRWVN67,Bright Daisy Mix,Cheerful Daisy Delight,,,Bouquets and Arrangements,,,,35.00,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,N,N,N,N,N
Q2FPXDOPULLKA5XV637BOQ53,Bright Daisy Mix,Wildflower Daisy Blend,,,Bouquets and Arrangements,,,,37.00,,,,,,Y,,,,,,Y,,,,,,Y,364,,,,,Y,446,,,,,Y,N,N,N,N,N
EC2VLPKE4M4C4DNICMEALSVJ,Bright Daisy Mix,Vibrant Daisy Fiesta,,,Bouquets and Arrangements,,,,variable,,,,,,Y,,,,,,Y,429,,,,,Y,467,,,,,Y,196,,,,,Y,N,N,N,N,N
6XLYMPOT45TNKACUENCSJTPC,Bromeliad Beauty Planter,Tropical Delight Planter,,,Indoor Plants,,,,59.00,,,,,,Y,,,,,,Y,292,,,,,Y,390,,,,,Y,103,,,,,N,Y,N,N,Y,N
R6MLWHKHZW7PJC3GVXUW4KOV,Bromeliad Beauty Planter,Ruby Radiance Planter,,,Indoor Plants,,,,61.00,,,,,,Y,,,,,,Y,65,,,,,Y,82,,,,,Y,484,,,,,N,Y,N,N,Y,N
2GL4XY6FYY7MDK4A6DZ44SY6,Bromeliad Beauty Planter,Golden Glow Planter,,,Indoor Plants,,,,variable,,,,,,Y,,,,,,Y,443,,,,,Y,,,,,,Y,,,,,,N,Y,N,N,Y,N
RKH6ALC7XGBBVHDASYHOXUKV,Butterfly Orchid Duo,Winged Wonder Pair,,,,,,,66.00,,,,,,Y,,,,,,Y,,,,,,Y,428,,,,,Y,,,,,,N,Y,N,N,N,N
CYUVBBO5EGE7K257OAHBJ4IF,Butterfly Orchid Duo,Fluttering Fantasy Set,,,,,,,65.00,,,,,,Y,,,,,,Y,108,,,,,Y,,,,,,Y,235,,,,,N,Y,N,N,N,N
WPBTKW5RWED5GZJ3UJHSSOXX,Butterfly Orchid Duo,Elegant Emergence Orchids,,,,,,,variable,,,,,,Y,,,,,,Y,439,,,,,Y,65,,,,,Y,,,,,,N,Y,N,N,N,N
LVR4TTDKB53X4BRVPNCJFCZG,Citrus Blossom Wreath,Zesty Orange Citrus Wreath,,,Local Favorites,,,,48.00,,,,,,Y,,,,,,Y,208,,,,,Y,11,,,,,Y,160,,,,,N,N,Y,N,N,N
34AGKWBFGUKCA2YHCCQEVRX5,Citrus Blossom Wreath,Lemon Blossom Welcome Wreath,,,Local Favorites,,,,variable,,,,,,Y,,,,,,Y,431,,,,,Y,,,,,,Y,,,,,,N,N,Y,N,N,N
PT7XT4R6EBUMUEDH7DG3ZORZ,Citrus Blossom Wreath,Grapefruit Grove Wreath,,,Local Favorites,,,,50.00,,,,,,Y,,,,,,Y,57,,,,,Y,,,,,,Y,1,,,,,N,N,Y,N,N,N
2ZCHVCUSCVH5L3KMEFIVKQUD,Coral Charm Peonies,Sunrise Coral Peony Bunch,,,Romantic Collections,,,,65.00,,,,,,Y,,,,,,Y,428,,,,,Y,,,,,,Y,14,,,,,N,N,N,Y,N,N
UGQPDNWNIDXTX2YH6SLPFEIJ,Coral Charm Peonies,Coral Reef Peony Bouquet,,,Romantic Collections,,,,variable,,,,,,Y,,,,,,Y,,,,,,Y,338,,,,,Y,483,,,,,N,N,N,Y,N,N
BK5DLZHXRWUVRLX6TBLH7KZV,Coral Charm Peonies,Peach Echo Peony Collection,,,Romantic Collections,,,,68.00,,,,,,Y,,,,,,Y,,,,,,Y,439,,,,,Y,301,,,,,N,N,N,Y,N,N
GOGP32GBPPLPVPGXOWWO6KSE,Elegant Lily Vase,Star Gazer Lily Showcase,,,Bouquets and Arrangements,,,,83.00,,,,,,Y,,,,,,Y,379,,,,,Y,,,,,,Y,131,,,,,Y,N,N,N,N,N
FIGKT7OV7PVXRSGEGYVGE52W,Elegant Lily Vase,Pure White Lily Vase,,,Bouquets and Arrangements,,,,81.00,,,,,,Y,,,,,,Y,374,,,,,Y,278,,,,,Y,271,,,,,Y,N,N,N,N,N
JUZQLSMN5X6SU6EIUIEFVRTN,Elegant Lily Vase,Sunset Lily Medley,,,Bouquets and Arrangements,,,,variable,,,,,,Y,,,,,,Y,97,,,,,Y,183,,,,,Y,,,,,,Y,N,N,N,N,N
BRE3UQZHPFUU6LRMESMU7UUK,Everlasting Eucalyptus,Silver Greenery Bundle,,,,,,,variable,,,,,,Y,,,,,,Y,200,,,,,Y,53,,,,,Y,,,,,,N,N,N,N,N,N
C6SE2ZRT2VTCL4PPBK7LQ2LM,Everlasting Eucalyptus,Forever Fresh Spray,,,,,,,29.00,,,,,,Y,,,,,,Y,,,,,,Y,103,,,,,Y,390,,,,,N,N,N,N,N,N
ZDIMOHC4L34YZSANGRCHBBES,Everlasting Eucalyptus,Timeless Twig Wreath,,,,,,,32.00,,,,,,Y,,,,,,Y,,,,,,Y,376,,,,,Y,,,,,,N,N,N,N,N,N
UMOFBGDEBY76BEGEH5DMG5XU,Fiddle Leaf Fig Tree,Lyrical Leaves Tree,,,Indoor Plants,,,,54.00,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,Y,N,N,Y,N
VUUB5362QIEWDFER7E5QSGSF,Fiddle Leaf Fig Tree,Elegant Foliage Tower,,,Indoor Plants,,,,56.00,,,,,,Y,,,,,,Y,,,,,,Y,433,,,,,Y,394,,,,,N,Y,N,N,Y,N
WB4NF742TOPY3SCFUSFWTVED,Fiddle Leaf Fig Tree,Verdant Vignette Fig,,,Indoor Plants,,,,variable,,,,,,Y,,,,,,Y,,,,,,Y,368,,,,,Y,,,,,,N,Y,N,N,Y,N
UDCAGRKBOPZR3XWFAHEHCC7Z,Floral Fantasy Arrangement,Vibrant Vision Bouquet,,,Bouquets and Arrangements,,,,75.00,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,N,N,N,N,N
4QENAQFHMA6WIYGH2B4XBKAT,Floral Fantasy Arrangement,Blooming Imagination Mix,,,Bouquets and Arrangements,,,,variable,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,N,N,N,N,N
PJWHGNN5XLMW6FMJ7QL65YUK,Floral Fantasy Arrangement,Whimsical Wonderland Collection,,,Bouquets and Arrangements,,,,83.00,,,,,,Y,,,,,,Y,245,,,,,Y,,,,,,Y,104,,,,,Y,N,N,N,N,N
XOWQIFH22ZMVOQX57GJAFY3S,Florida Fern Basket,Hanging Green Fern Basket,,,Local Favorites,,,,45.00,,,,,,Y,,,,,,Y,260,,,,,Y,,,,,,Y,,,,,,N,Y,N,N,N,Y
FEOD4CHOBMNYFSA4O37W6HMU,Florida Fern Basket,Lush Fern Oasis,,,Local Favorites,,,,variable,,,,,,Y,,,,,,Y,100,,,,,Y,,,,,,Y,,,,,,N,Y,N,N,N,Y
F6FCEHBFBTXGYHCS2ZLZUXHG,Florida Fern Basket,Wild Fern Basket,,,Local Favorites,,,,49.00,,,,,,Y,,,,,,Y,429,,,,,Y,92,,,,,Y,,,,,,N,Y,N,N,N,Y
54PDDUFAGPFBDUE2WBENQ24K,Gardenia Bonsai,Blooming Gardenia Bonsai,,,Indoor Plants,,,,57.00,,,,,,Y,,,,,,Y,,,,,,Y,34,,,,,Y,,,,,,N,Y,N,N,N,Y
W6XTK5TIT3MBJ6T54TWEQFKR,Gardenia Bonsai,Sweet Scented Gardenia Bonsai,,,Indoor Plants,,,,60.00,,,,,,Y,,,,,,Y,2,,,,,Y,,,,,,Y,230,,,,,N,Y,N,N,N,Y
CULAN2Q5CNRTXYSNL3D3T3CE,Gardenia Bonsai,Gardenia Bonsai Grove,,,Indoor Plants,,,,variable,,,,,,Y,,,,,,Y,,,,,,Y,92,,,,,Y,292,,,,,N,Y,N,N,N,Y
U6UYGC4HTPGFAQJ7BQOGJOIP,Hydrangea Harmony Pot,Blue Serenity Hydrangea,,,Indoor Plants,,,,variable,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,N,Y,N,N,Y,N
LRDLV7D2L2RHCS7QJRGMI4AR,Hydrangea Harmony Pot,Pink Clouds Hydrangea Pot,,,Indoor Plants,,,,70.00,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,82,,,,,N,Y,N,N,Y,N
CRMAETJ7IFEH6VY2ENFBOB3E,Hydrangea Harmony Pot,Classic White Hydrangea Cluster,,,Indoor Plants,,,,72.00,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,412,,,,,N,Y,N,N,Y,N
LDVEJGDGZU3QCOELITZVRLUE,Jasmine Scented Candles,Night Blooming Jasmine Candle,,,,,,,24.00,,,,,,Y,,,,,,Y,105,,,,,Y,239,,,,,Y,98,,,,,N,N,Y,N,N,N
T7X27ESLYP6VNNSIP2YMLBYJ,Jasmine Scented Candles,Tropical Jasmine Aroma Candle,,,,,,,variable,,,,,,Y,,,,,,Y,,,,,,Y,,,,,,Y,359,,,,,N,N,Y,N,N,N
